chr	start	end	size	gene	D09-468	D12-880	D12-881	D12-928	D13-708	D13-944	D14-0589	D15-0055	D15-1048	D15-1050	D15-1762	D15-1768	D16-0208	D16-0298	D17-0918	D18-0051	D18-0870	D18-1122	D18-1921	D19-0714	D19-0823	D19-0824	D19-0825	D19-1647	D19-1648	D19-1649	D20-0414	D20-0418	D20-0819	D20-1019	D20-1040	D21-0013	D21-0023	D21-0024	D21-0068	D21-0069	D21-0074	D21-0075	D21-0076	D21-0077	D21-0078	D21-0079	D21-0083	D21-0084	D21-0085	D21-0091	D22-0006	D22-0007	D22-0008	D22-0015	D22-0017	D22-0018	D22-0049	D22-0050	D22-0056	D22-0060	D22-0074	D22-0075	D22-0080	D22-0081	D22-0082	D22-0088	D22-0089	D22-0109	D22-0110	D22-0119	D22-0159	D22-0161	D22-0162	D22-0170	D23-0058	D23-0059	D23-0060	DGS-20-210
chr1	11012343	11030528	18185	TARDBP	57.47	26.96	33.99	28.32	35.39	30.99	28.57	52.89	46.34	48.19	44.47	63.79	44.93	43.75	44.42	36.13	36.82	30.59	36.07	33.25	36.41	35.51	48.21	39.07	43.85	41.17	34.26	43.20	55.70	31.13	34.94	38.13	41.10	38.72	38.65	45.31	38.19	36.09	57.81	36.06	46.78	45.78	32.83	35.25	41.77	31.00	44.83	50.17	38.91	48.75	39.58	44.62	31.26	31.53	35.19	33.62	35.62	34.81	34.69	42.54	38.79	39.28	43.01	47.54	43.47	46.52	42.45	40.73	40.42	34.22	48.06	45.93	45.83	47.66
chr1	11934204	11975538	41334	PLOD1	49.67	22.50	31.23	26.44	32.14	28.20	26.05	51.50	49.57	47.25	43.06	54.41	36.91	39.88	37.00	31.65	32.06	28.47	32.02	31.54	33.68	32.29	42.77	35.79	39.05	36.76	33.85	42.62	46.75	26.18	30.40	33.25	39.31	36.18	33.33	40.18	35.88	31.67	51.15	32.55	43.39	41.12	27.21	30.62	35.59	26.05	40.61	49.01	32.56	47.84	39.22	46.93	27.68	27.92	29.79	28.26	30.37	30.22	27.08	33.53	32.57	31.42	35.94	40.81	38.35	36.27	34.76	32.81	34.29	32.25	43.34	40.50	39.83	46.55
chr1	11980180	12015211	35031	MFN2	54.68	24.66	33.86	28.26	35.30	30.11	28.99	51.94	50.42	49.02	45.12	59.72	40.07	43.39	42.01	33.99	36.60	30.61	34.08	35.38	36.43	34.02	44.38	37.98	42.36	39.49	35.09	43.98	52.60	28.44	33.68	36.34	41.78	36.90	35.21	44.62	37.45	33.88	55.81	35.08	46.15	44.65	30.69	32.87	37.87	29.06	42.83	53.57	36.40	50.53	42.63	51.68	29.65	29.38	33.81	31.71	34.10	32.01	31.43	37.93	37.04	35.32	39.82	45.19	41.31	40.40	38.17	36.66	37.43	35.39	45.79	43.06	43.25	48.82
chr1	12230029	12512047	282018	VPS13D	58.95	26.25	32.58	30.43	36.28	31.52	32.20	52.47	48.78	49.02	46.49	62.92	44.92	43.27	43.74	36.01	38.04	31.98	35.19	34.76	36.51	36.10	50.07	39.47	43.51	41.56	33.40	43.03	55.36	31.25	36.80	39.19	41.69	37.50	38.83	48.03	39.11	36.41	56.76	35.49	45.99	45.19	34.03	36.74	41.73	32.02	45.56	51.47	41.96	46.96	41.45	45.89	32.61	32.86	34.55	34.40	37.29	36.20	35.87	41.91	39.85	39.66	45.12	47.34	44.31	46.74	42.98	41.91	42.83	36.51	50.53	46.66	46.55	46.82
chr1	16985957	17011928	25971	ATP13A2	54.74	23.69	34.44	28.13	33.31	29.22	26.51	55.25	50.70	50.51	46.04	58.18	37.03	41.43	35.68	31.57	34.65	29.84	34.42	35.39	36.48	31.89	43.45	35.66	40.38	38.25	35.63	44.12	51.04	26.57	31.14	33.72	42.99	36.77	35.15	44.59	36.81	31.59	51.36	33.90	44.12	43.32	27.97	31.38	35.82	27.33	43.90	48.69	32.89	53.32	43.06	52.29	28.91	28.36	32.73	29.17	30.43	30.40	30.01	33.74	32.83	30.67	36.24	43.39	40.80	34.30	35.90	33.80	35.74	35.75	43.46	43.86	42.04	49.70
chr1	17066760	17119451	52691	PADI2	54.01	25.47	33.35	28.35	35.22	29.12	29.91	54.90	49.61	49.81	44.99	60.20	39.37	42.50	37.72	31.60	34.66	31.21	33.88	34.48	35.07	33.20	45.77	36.06	40.01	38.93	35.19	44.22	50.82	27.13	33.39	34.37	40.65	35.72	35.68	43.65	37.57	34.34	54.73	34.75	44.41	43.47	30.09	32.56	37.38	28.80	42.95	53.08	35.32	49.97	41.26	48.71	29.98	30.73	31.93	30.54	31.80	32.84	30.77	36.23	35.45	34.21	39.05	42.26	39.97	39.38	36.38	36.53	37.17	34.76	45.99	44.69	41.02	48.42
chr1	18630845	18748866	118021	PAX7	55.30	25.60	34.41	28.94	34.40	29.38	29.83	54.20	50.72	50.84	44.78	58.60	38.93	41.11	38.36	32.95	34.55	29.28	33.01	33.59	35.43	33.91	45.53	36.68	40.71	39.01	35.05	44.66	50.78	27.13	32.26	35.30	41.84	37.39	35.00	45.09	36.67	33.83	53.77	33.75	44.36	43.15	30.25	31.75	37.03	27.97	43.74	52.02	35.91	50.58	40.69	50.22	29.58	30.03	34.21	30.74	32.73	32.08	31.62	36.44	35.72	33.88	38.93	42.22	39.19	38.31	37.30	35.19	37.00	33.87	46.05	43.01	41.79	49.26
chr1	20633457	20651511	18054	PINK1	55.84	26.00	33.86	30.15	33.83	30.37	29.70	52.81	49.15	49.36	44.82	60.43	40.69	42.64	41.14	33.09	34.78	31.49	35.65	35.03	35.87	34.17	44.08	36.08	41.50	39.82	34.70	43.17	53.07	28.51	33.45	37.65	43.74	35.61	36.78	44.11	37.92	34.15	55.32	35.90	45.69	42.65	31.10	33.27	38.68	29.72	43.54	53.14	36.42	49.14	41.54	50.21	29.14	31.18	33.20	31.45	33.52	33.15	32.35	36.93	36.65	36.00	41.17	43.29	40.78	41.10	38.14	35.60	38.02	35.39	46.67	44.82	42.85	50.34
chr1	21822243	21937310	115067	HSPG2	54.78	25.09	35.54	28.80	34.40	29.30	28.77	54.78	51.12	51.61	46.28	60.00	37.25	41.67	37.92	33.17	34.28	29.67	34.34	34.00	36.63	33.39	44.91	37.05	41.24	39.60	35.70	46.91	50.74	27.26	31.52	35.30	43.09	38.38	36.77	45.38	36.72	33.91	53.70	35.27	44.70	44.28	29.72	31.44	36.65	27.34	44.48	49.98	34.82	53.85	42.98	52.01	29.14	29.75	32.91	30.28	31.15	31.57	30.30	35.60	35.47	32.13	36.57	41.73	39.28	36.53	35.75	35.40	36.20	34.01	45.91	43.67	42.54	49.96
chr1	25800192	25818221	18029	SELENON	55.07	25.50	33.89	29.91	33.23	28.98	30.33	55.20	49.36	49.97	46.51	59.42	36.17	39.37	36.47	31.52	34.16	28.40	31.63	32.89	33.88	33.97	45.60	35.86	40.10	37.02	35.37	44.71	50.68	27.83	31.02	34.91	42.80	36.80	35.18	44.78	37.09	32.91	52.21	34.75	43.34	41.88	29.24	30.71	36.88	26.69	43.70	50.64	30.96	51.95	42.80	49.91	29.15	29.75	32.04	28.71	29.57	29.22	29.18	33.68	35.99	30.52	35.90	39.04	39.00	36.51	36.10	34.70	35.12	34.57	44.46	42.42	40.53	50.03
chr1	27098808	27166981	68173	SLC9A1	54.73	24.30	32.29	28.37	34.10	28.83	27.86	53.06	48.77	48.45	43.98	59.65	38.91	42.08	37.54	32.41	33.82	30.13	33.88	34.35	34.34	32.64	44.60	35.67	40.54	38.87	33.67	43.46	50.89	27.69	31.84	34.57	42.49	36.17	35.47	44.76	36.50	34.15	54.35	34.31	43.96	43.00	29.91	32.19	38.16	28.25	43.34	51.37	35.87	49.77	40.45	48.98	29.70	28.41	32.13	31.13	32.58	32.02	31.19	36.59	35.21	33.52	38.75	41.65	39.82	38.86	37.47	36.04	36.72	33.80	45.55	42.70	42.71	48.64
chr1	29192656	29230942	38286	MECR	56.87	25.38	33.32	28.26	35.35	29.80	29.64	51.84	49.03	49.01	46.99	60.85	42.26	44.29	40.81	34.79	36.16	31.91	35.27	36.31	35.06	35.34	46.70	37.42	41.67	39.33	34.62	43.89	54.04	30.32	35.36	36.48	41.62	37.86	36.11	45.38	38.56	35.07	56.09	35.52	45.64	44.43	32.17	34.27	39.25	29.69	43.88	54.39	38.39	49.68	41.51	50.15	31.10	31.26	34.17	32.44	35.77	33.36	33.98	39.24	37.50	37.25	43.52	46.86	41.36	42.77	40.38	39.34	40.61	36.03	48.41	44.68	44.05	47.44
chr1	30931505	31065991	134486	PUM1	58.43	25.82	31.30	28.75	35.90	30.89	30.09	51.92	47.89	48.62	46.29	62.18	44.31	42.19	43.66	35.18	36.90	31.85	33.80	33.88	36.03	35.39	48.91	39.01	42.91	40.88	33.31	42.74	55.61	30.58	36.03	38.12	40.73	37.18	38.25	48.02	38.16	35.81	56.15	34.93	45.44	44.57	33.92	36.08	41.62	32.00	44.48	51.88	40.52	45.76	40.11	44.64	32.60	31.54	33.82	32.83	36.89	35.25	35.16	41.31	38.94	38.55	43.63	46.89	44.18	45.77	43.63	42.22	43.02	36.88	50.10	45.37	45.47	46.17
chr1	32679905	32703596	23691	SYNC	52.68	23.45	31.59	25.09	34.65	28.62	28.77	50.90	47.46	46.30	42.46	59.35	41.04	42.57	38.97	33.39	34.31	30.27	32.43	33.77	35.44	33.02	44.96	36.72	40.67	38.01	33.92	40.76	50.69	27.80	34.24	34.67	39.45	35.35	34.68	40.85	35.86	34.07	53.49	34.39	42.68	43.44	31.43	33.38	36.94	28.68	42.49	50.64	36.20	48.09	39.71	46.69	29.66	30.38	31.60	29.56	33.34	33.15	31.75	36.95	35.18	36.16	40.28	43.32	40.43	40.99	37.65	38.02	37.54	33.63	44.79	42.90	42.45	44.71
chr1	32775236	32818031	42795	YARS1	54.35	23.40	32.60	27.75	35.45	30.28	29.41	52.10	49.00	49.16	45.02	59.59	42.35	41.88	42.09	34.10	36.27	30.89	34.48	35.35	34.66	32.99	46.38	38.19	40.23	39.92	34.73	43.55	52.65	29.31	34.99	36.70	41.47	35.90	35.03	43.53	38.10	35.08	54.56	34.38	43.94	44.13	31.24	34.20	39.15	30.16	44.15	52.57	37.99	48.16	40.70	46.73	30.96	30.40	33.59	31.75	34.09	33.02	32.97	38.53	36.81	37.34	41.41	44.05	42.33	42.16	40.31	38.58	39.47	35.05	48.52	44.96	44.12	47.36
chr1	32885993	32898441	12448	HPCA	55.92	25.44	37.37	28.95	34.85	28.69	30.62	54.61	52.47	50.94	47.43	59.13	37.09	41.19	37.33	33.10	35.50	27.15	32.50	34.64	35.52	33.08	43.50	35.81	40.48	40.35	36.41	46.15	51.11	25.77	31.41	35.18	42.89	37.51	35.90	46.87	35.33	33.84	54.28	31.35	43.22	44.85	27.42	33.41	36.23	27.07	44.45	49.76	35.67	52.95	42.37	51.89	29.46	29.60	32.49	29.65	29.05	31.79	29.07	35.30	34.61	32.31	35.53	42.66	37.15	35.77	35.05	33.88	35.51	33.93	45.18	42.51	40.57	50.69
chr1	34781213	34786369	5156	GJB3	57.00	24.86	34.91	31.43	34.33	30.75	28.80	56.39	55.61	50.00	44.15	56.11	37.14	40.39	35.74	31.49	30.11	27.56	29.07	30.41	34.49	33.11	47.45	35.29	41.35	41.37	36.20	43.46	48.67	27.65	33.08	35.61	44.59	36.23	36.41	46.49	35.03	32.88	53.68	32.67	41.27	39.86	32.21	33.07	36.21	25.96	44.42	48.21	34.55	48.70	40.54	50.13	28.57	30.22	31.29	32.11	30.76	32.07	29.89	36.46	34.12	31.90	37.11	41.49	40.78	37.99	36.01	36.44	33.34	33.63	44.32	42.88	41.20	51.18
chr1	36088891	36093932	5041	ADPRS	51.28	26.11	34.28	30.33	35.52	31.90	31.41	55.56	50.99	50.99	46.52	60.24	39.48	42.55	42.80	36.48	36.55	29.16	33.65	33.12	35.34	35.09	44.69	36.58	40.19	37.58	38.02	44.05	50.58	27.13	33.18	38.27	44.01	37.99	36.94	49.09	37.28	33.55	52.56	38.22	44.06	44.56	33.76	33.48	35.42	28.64	42.70	52.12	34.22	50.51	40.73	51.15	27.47	32.89	32.49	29.13	35.09	32.58	29.92	34.76	36.22	35.85	38.48	43.53	39.81	36.90	35.92	35.29	35.67	35.54	45.40	42.63	43.77	50.54
chr1	37996763	38005606	8843	FHL3	52.22	23.13	32.88	30.42	32.83	25.55	29.65	55.11	50.04	47.98	40.84	52.74	33.49	38.86	35.09	32.37	31.76	27.54	30.22	30.36	36.08	30.28	42.90	34.59	37.16	37.87	36.66	46.50	47.44	24.23	29.51	31.33	38.56	34.02	35.44	41.22	34.41	33.23	51.17	30.35	43.71	39.90	26.15	29.24	33.09	25.35	42.20	43.80	30.52	46.38	38.02	47.96	27.83	28.18	30.78	28.07	27.91	29.36	26.39	34.67	31.35	28.69	35.05	37.26	37.74	33.32	35.02	31.75	32.71	32.36	40.03	41.38	38.66	50.19
chr1	39081315	39487177	405862	MACF1	57.48	25.54	32.17	29.43	36.41	30.91	30.16	52.42	48.13	48.90	45.56	62.25	44.44	42.83	43.28	35.54	37.16	31.70	34.69	34.52	36.49	35.77	48.54	39.06	42.88	41.32	33.49	42.81	55.35	31.33	36.32	38.15	40.74	37.49	37.65	47.11	38.61	35.97	56.44	35.11	45.03	44.72	33.89	36.68	40.97	31.75	44.88	50.22	41.00	46.47	41.00	46.38	32.03	32.24	34.56	33.32	36.49	35.15	35.08	40.88	38.96	39.16	44.10	46.04	43.70	46.06	42.52	40.74	41.63	36.15	49.62	45.53	45.57	46.65
chr1	42807051	42817397	10346	SVBP	51.91	25.24	30.68	28.22	32.62	30.17	28.22	52.91	46.07	48.34	42.24	57.92	41.31	40.10	42.49	33.95	35.30	26.13	32.44	32.26	35.96	33.25	45.09	35.42	39.51	38.52	32.69	41.35	50.67	27.32	32.80	35.87	37.46	36.83	35.99	44.17	34.17	32.30	52.51	34.85	40.27	42.94	32.15	31.14	39.49	30.18	42.10	46.25	37.83	43.95	38.74	42.72	29.46	31.24	32.94	30.74	32.46	32.31	30.16	39.98	35.38	37.12	43.02	43.73	38.91	40.75	40.94	38.28	39.05	35.08	47.01	44.73	44.28	45.41
chr1	42925352	42958893	33541	SLC2A1	55.43	25.50	35.12	29.81	35.32	29.23	30.38	53.60	51.65	50.85	45.48	61.31	39.51	43.99	38.07	32.48	35.20	30.73	34.82	34.94	35.70	32.64	46.68	36.43	41.40	39.48	34.99	45.04	51.31	27.03	32.90	35.28	41.94	36.09	36.67	47.15	37.52	35.04	55.16	34.72	45.58	44.37	30.72	32.53	38.92	28.10	43.76	51.55	35.50	50.99	41.10	49.50	29.82	28.85	32.09	31.26	33.46	33.40	32.56	37.96	36.47	34.75	39.18	42.28	41.14	40.05	38.35	36.51	38.21	34.85	48.98	43.36	43.73	49.37
chr1	43991499	44031467	39968	SLC6A9	56.31	23.43	35.10	29.01	34.92	29.48	28.40	54.98	51.98	51.47	46.21	59.30	37.73	41.61	37.15	33.55	34.43	29.77	33.80	34.75	35.50	33.49	44.65	36.56	40.17	38.84	37.00	46.17	50.92	27.36	32.37	35.15	45.86	37.47	36.03	47.62	36.78	34.36	53.85	35.18	44.85	44.08	30.55	32.18	36.57	27.42	44.33	49.36	34.96	53.35	42.51	52.72	29.72	29.75	33.38	30.58	31.75	31.70	30.37	35.74	35.66	32.21	37.06	42.14	39.40	36.99	36.28	34.34	35.60	34.02	46.19	44.17	42.26	51.98
chr1	44405193	44651723	246530	RNF220	56.78	26.20	33.48	29.81	35.93	30.37	31.10	53.34	49.71	50.17	45.41	60.40	42.11	42.48	41.38	34.47	35.90	30.99	34.55	34.41	35.54	34.63	47.89	37.78	41.90	40.24	34.39	43.56	53.95	29.59	34.65	36.87	40.95	37.70	37.11	46.41	37.98	34.99	55.83	35.25	45.44	44.42	32.31	34.77	39.20	30.02	44.22	51.65	38.39	49.05	40.99	48.06	31.15	31.12	33.96	32.09	34.86	34.41	33.41	39.14	37.07	36.54	41.98	44.41	41.81	42.68	40.05	38.30	39.44	35.39	48.73	44.73	44.39	47.78
chr1	44850521	44986722	136201	EIF2B3	55.28	24.16	31.07	27.84	36.19	30.34	28.62	50.78	47.60	48.31	45.23	60.71	44.16	42.83	42.56	34.04	36.19	31.52	34.29	33.98	36.19	34.19	47.22	38.41	42.62	40.76	33.25	42.53	55.51	30.24	35.07	37.18	39.92	36.38	36.55	45.23	38.38	35.28	54.81	34.31	44.78	44.97	32.46	35.26	40.86	31.20	44.37	51.71	39.83	45.57	40.13	44.88	31.05	31.51	33.86	32.02	35.51	33.82	33.71	39.92	37.45	38.80	42.90	45.36	42.40	44.51	41.60	40.06	40.90	35.56	48.25	44.15	44.44	46.43
chr1	45326894	45328710	1816	HPDL	65.36	28.33	34.47	33.62	36.72	34.74	33.41	60.76	54.94	58.98	43.26	54.20	35.56	40.49	37.03	37.42	35.63	30.54	37.39	33.16	37.68	36.94	52.76	39.11	42.29	39.22	41.90	53.27	49.88	28.49	29.27	37.40	46.12	41.57	42.78	52.58	41.89	34.79	48.94	40.18	43.22	42.08	30.90	31.65	32.52	24.62	47.50	47.56	33.80	62.09	50.40	58.31	28.21	30.44	32.67	32.42	33.32	28.63	34.73	36.78	37.76	31.86	32.06	44.52	40.63	37.59	36.75	35.08	37.40	40.49	45.80	41.89	41.05	52.84
chr1	46188682	46220305	31623	POMGNT1	57.04	24.55	33.67	27.86	35.53	29.65	28.90	53.12	50.59	49.17	44.43	59.57	39.92	44.13	39.23	34.12	35.81	32.15	34.05	35.35	34.81	33.72	47.54	37.27	40.54	39.77	35.01	43.95	53.71	28.80	33.93	35.64	41.31	36.96	36.82	43.43	38.58	35.01	57.46	35.13	46.35	44.77	30.04	33.60	39.46	28.90	44.01	52.80	36.81	48.14	41.15	48.18	30.45	30.49	33.65	31.67	33.87	34.08	31.66	37.16	36.69	35.79	39.91	42.81	41.09	40.26	39.43	37.18	37.81	34.78	48.74	43.84	42.96	58.77
chr1	52684448	52698347	13899	COA7	56.17	24.32	31.99	27.76	36.04	29.83	27.05	53.52	48.52	47.96	44.84	60.09	43.34	45.85	41.18	33.53	36.05	31.06	34.65	33.53	35.59	33.96	46.86	39.48	42.24	41.71	33.71	43.36	54.48	29.01	34.26	36.15	37.47	36.92	35.72	44.19	39.35	35.54	56.02	35.69	44.06	43.40	31.54	36.15	40.05	31.56	42.26	52.05	38.06	45.92	41.64	46.18	29.86	29.79	34.01	31.62	34.33	34.07	33.61	37.31	36.99	36.88	41.10	45.34	41.48	43.38	41.51	37.70	40.47	35.86	47.90	46.21	44.53	45.28
chr1	53196791	53214197	17406	CPT2	59.71	26.58	34.48	30.71	35.99	31.24	31.88	52.83	49.83	48.80	47.06	62.62	41.59	44.58	43.37	35.59	37.02	30.65	35.61	36.11	35.39	35.06	47.24	39.64	44.56	40.63	35.11	43.41	56.28	30.94	36.08	39.59	42.68	37.33	38.12	47.25	38.93	36.71	57.62	34.95	45.20	42.82	32.94	36.75	41.62	30.93	44.53	47.37	41.59	46.94	40.06	48.20	31.98	33.61	33.73	32.91	37.82	33.93	34.77	42.34	38.64	37.17	43.56	46.84	43.97	44.81	42.26	40.17	40.40	36.69	48.46	46.66	45.59	48.39
chr1	54849626	54887195	37569	DHCR24	58.51	26.12	34.96	30.79	36.00	30.87	31.32	51.99	49.56	49.59	45.39	62.95	42.49	43.38	42.17	35.65	36.41	31.84	34.74	34.36	35.34	34.91	47.52	38.29	42.61	40.78	35.31	43.77	52.94	30.06	35.18	37.05	42.23	36.99	38.09	47.60	37.68	35.88	57.51	34.64	45.36	44.92	32.97	36.76	40.38	30.85	45.55	53.83	38.23	47.85	40.80	49.08	31.57	32.83	34.31	32.44	35.85	33.70	34.17	39.71	37.65	37.04	41.72	46.02	40.94	43.57	41.02	38.47	41.26	35.95	47.69	45.81	45.39	46.70
chr1	63593410	63660245	66835	PGM1	59.80	27.34	31.94	30.61	36.58	31.42	31.94	53.48	49.46	49.36	47.12	62.57	44.76	42.51	43.16	35.61	37.64	31.94	35.11	34.49	37.38	36.25	50.35	40.02	42.71	42.06	34.56	43.46	56.59	31.67	37.17	38.31	40.95	38.83	39.26	49.74	38.93	36.24	55.99	34.81	45.17	45.08	34.46	36.58	41.93	32.61	45.60	43.52	40.73	47.58	40.33	47.01	32.94	33.45	35.74	34.06	37.70	35.96	36.15	41.89	39.35	38.80	44.49	46.56	44.35	47.19	43.72	41.27	43.02	36.14	51.43	45.77	46.02	46.11
