gene	chr	start	end	sample	depth
FRG2	chr4	190024621	190024623	D09-468	48
FRG2	chr4	190024623	190024627	D09-468	49
FRG2	chr4	190024627	190024629	D09-468	50
FRG2	chr4	190024629	190024634	D09-468	48
FRG2	chr4	190024634	190024653	D09-468	45
FRG2	chr4	190024653	190024654	D09-468	47
FRG2	chr4	190024654	190024660	D09-468	49
FRG2	chr4	190024660	190024662	D09-468	50
FRG2	chr4	190024662	190024665	D09-468	49
FRG2	chr4	190024665	190024666	D09-468	51
FRG2	chr4	190024666	190024668	D09-468	53
FRG2	chr4	190024668	190024670	D09-468	51
FRG2	chr4	190024670	190024672	D09-468	54
FRG2	chr4	190024672	190024674	D09-468	53
FRG2	chr4	190024674	190024678	D09-468	54
FRG2	chr4	190024678	190024683	D09-468	56
FRG2	chr4	190024683	190024684	D09-468	60
FRG2	chr4	190024684	190024686	D09-468	59
FRG2	chr4	190024686	190024687	D09-468	60
FRG2	chr4	190024687	190024688	D09-468	59
FRG2	chr4	190024688	190024689	D09-468	64
FRG2	chr4	190024689	190024691	D09-468	63
FRG2	chr4	190024691	190024692	D09-468	60
FRG2	chr4	190024692	190024695	D09-468	59
FRG2	chr4	190024695	190024696	D09-468	63
FRG2	chr4	190024696	190024698	D09-468	54
FRG2	chr4	190024698	190024700	D09-468	52
FRG2	chr4	190024700	190024702	D09-468	51
FRG2	chr4	190024702	190024704	D09-468	54
FRG2	chr4	190024704	190024705	D09-468	52
FRG2	chr4	190024705	190024706	D09-468	53
FRG2	chr4	190024706	190024709	D09-468	57
FRG2	chr4	190024709	190024723	D09-468	58
FRG2	chr4	190024723	190024727	D09-468	61
FRG2	chr4	190024727	190024732	D09-468	57
FRG2	chr4	190024732	190024733	D09-468	52
FRG2	chr4	190024733	190024740	D09-468	53
FRG2	chr4	190024740	190024741	D09-468	54
FRG2	chr4	190024741	190024745	D09-468	55
FRG2	chr4	190024745	190024756	D09-468	57
FRG2	chr4	190024756	190024762	D09-468	54
FRG2	chr4	190024762	190024763	D09-468	55
FRG2	chr4	190024763	190024769	D09-468	61
FRG2	chr4	190024769	190024772	D09-468	62
FRG2	chr4	190024772	190024777	D09-468	61
FRG2	chr4	190024777	190024778	D09-468	60
FRG2	chr4	190024778	190024779	D09-468	61
FRG2	chr4	190024779	190024787	D09-468	64
FRG2	chr4	190024787	190024793	D09-468	67
FRG2	chr4	190024793	190024795	D09-468	69
FRG2	chr4	190024795	190024796	D09-468	70
FRG2	chr4	190024796	190024804	D09-468	71
FRG2	chr4	190024804	190024805	D09-468	69
FRG2	chr4	190024805	190024806	D09-468	67
FRG2	chr4	190024806	190024808	D09-468	68
FRG2	chr4	190024808	190024809	D09-468	70
FRG2	chr4	190024809	190024811	D09-468	69
FRG2	chr4	190024811	190024815	D09-468	70
FRG2	chr4	190024815	190024817	D09-468	67
FRG2	chr4	190024817	190024819	D09-468	65
FRG2	chr4	190024819	190024821	D09-468	62
FRG2	chr4	190024821	190024823	D09-468	63
FRG2	chr4	190024823	190024824	D09-468	62
FRG2	chr4	190024824	190024825	D09-468	65
FRG2	chr4	190024825	190024826	D09-468	66
FRG2	chr4	190024826	190024827	D09-468	68
FRG2	chr4	190024827	190024828	D09-468	71
FRG2	chr4	190024828	190024829	D09-468	68
FRG2	chr4	190024829	190024833	D09-468	69
FRG2	chr4	190024833	190024835	D09-468	67
FRG2	chr4	190024835	190024836	D09-468	69
FRG2	chr4	190024836	190024837	D09-468	68
FRG2	chr4	190024837	190024838	D09-468	69
FRG2	chr4	190024838	190024839	D09-468	64
FRG2	chr4	190024839	190024846	D09-468	63
FRG2	chr4	190024846	190024847	D09-468	60
FRG2	chr4	190024847	190024849	D09-468	59
FRG2	chr4	190024849	190024850	D09-468	61
FRG2	chr4	190024850	190024851	D09-468	64
FRG2	chr4	190024851	190024852	D09-468	62
FRG2	chr4	190024852	190024855	D09-468	60
FRG2	chr4	190024855	190024856	D09-468	59
FRG2	chr4	190024856	190024857	D09-468	58
FRG2	chr4	190024857	190024858	D09-468	55
FRG2	chr4	190024858	190024859	D09-468	57
FRG2	chr4	190024859	190024865	D09-468	56
FRG2	chr4	190024865	190024866	D09-468	57
FRG2	chr4	190024866	190024868	D09-468	58
FRG2	chr4	190024868	190024871	D09-468	63
FRG2	chr4	190024871	190024873	D09-468	64
FRG2	chr4	190024873	190024875	D09-468	61
FRG2	chr4	190024875	190024880	D09-468	60
FRG2	chr4	190024880	190024882	D09-468	58
FRG2	chr4	190024882	190024890	D09-468	57
FRG2	chr4	190024890	190024892	D09-468	56
FRG2	chr4	190024892	190024893	D09-468	55
FRG2	chr4	190024893	190024895	D09-468	56
FRG2	chr4	190024895	190024896	D09-468	54
FRG2	chr4	190024896	190024899	D09-468	56
FRG2	chr4	190024899	190024901	D09-468	58
FRG2	chr4	190024901	190024907	D09-468	62
FRG2	chr4	190024907	190024910	D09-468	64
FRG2	chr4	190024910	190024911	D09-468	65
FRG2	chr4	190024911	190024913	D09-468	66
FRG2	chr4	190024913	190024914	D09-468	68
FRG2	chr4	190024914	190024918	D09-468	64
FRG2	chr4	190024918	190024919	D09-468	63
FRG2	chr4	190024919	190024920	D09-468	64
FRG2	chr4	190024920	190024921	D09-468	67
FRG2	chr4	190024921	190024922	D09-468	68
FRG2	chr4	190024922	190024924	D09-468	67
FRG2	chr4	190024924	190024927	D09-468	68
FRG2	chr4	190024927	190024929	D09-468	69
FRG2	chr4	190024929	190024930	D09-468	68
FRG2	chr4	190024930	190024934	D09-468	65
FRG2	chr4	190024934	190024935	D09-468	67
FRG2	chr4	190024935	190024936	D09-468	68
FRG2	chr4	190024936	190024942	D09-468	65
FRG2	chr4	190024942	190024943	D09-468	66
FRG2	chr4	190024943	190024944	D09-468	64
FRG2	chr4	190024944	190024945	D09-468	65
FRG2	chr4	190024945	190024947	D09-468	64
FRG2	chr4	190024947	190024949	D09-468	63
FRG2	chr4	190024949	190024950	D09-468	65
FRG2	chr4	190024950	190024956	D09-468	66
FRG2	chr4	190024956	190024957	D09-468	65
FRG2	chr4	190024957	190024958	D09-468	66
FRG2	chr4	190024958	190024961	D09-468	64
FRG2	chr4	190024961	190024965	D09-468	63
FRG2	chr4	190024965	190024971	D09-468	64
FRG2	chr4	190024971	190024974	D09-468	63
FRG2	chr4	190024974	190024975	D09-468	62
FRG2	chr4	190024975	190024976	D09-468	60
FRG2	chr4	190024976	190024977	D09-468	58
FRG2	chr4	190024977	190024979	D09-468	57
FRG2	chr4	190024979	190024982	D09-468	56
FRG2	chr4	190024982	190024984	D09-468	54
FRG2	chr4	190024984	190024985	D09-468	61
FRG2	chr4	190024985	190024987	D09-468	59
FRG2	chr4	190024987	190024992	D09-468	58
FRG2	chr4	190024992	190024999	D09-468	59
FRG2	chr4	190024999	190025000	D09-468	57
FRG2	chr4	190025000	190025002	D09-468	53
FRG2	chr4	190025002	190025004	D09-468	55
FRG2	chr4	190025004	190025006	D09-468	56
FRG2	chr4	190025006	190025008	D09-468	58
FRG2	chr4	190025008	190025014	D09-468	60
FRG2	chr4	190025014	190025015	D09-468	61
FRG2	chr4	190025015	190025019	D09-468	59
FRG2	chr4	190025019	190025021	D09-468	54
FRG2	chr4	190025021	190025022	D09-468	55
FRG2	chr4	190025022	190025038	D09-468	59
FRG2	chr4	190025038	190025039	D09-468	60
FRG2	chr4	190025039	190025040	D09-468	63
FRG2	chr4	190025040	190025042	D09-468	65
FRG2	chr4	190025042	190025043	D09-468	64
FRG2	chr4	190025043	190025045	D09-468	69
FRG2	chr4	190025045	190025047	D09-468	70
FRG2	chr4	190025047	190025048	D09-468	68
FRG2	chr4	190025048	190025049	D09-468	73
FRG2	chr4	190025049	190025051	D09-468	71
FRG2	chr4	190025051	190025052	D09-468	72
FRG2	chr4	190025052	190025053	D09-468	68
FRG2	chr4	190025053	190025057	D09-468	69
FRG2	chr4	190025057	190025060	D09-468	67
FRG2	chr4	190025060	190025062	D09-468	66
FRG2	chr4	190025062	190025063	D09-468	65
FRG2	chr4	190025063	190025068	D09-468	62
FRG2	chr4	190025068	190025069	D09-468	59
FRG2	chr4	190025069	190025070	D09-468	58
FRG2	chr4	190025070	190025071	D09-468	59
FRG2	chr4	190025071	190025074	D09-468	58
FRG2	chr4	190025074	190025077	D09-468	57
FRG2	chr4	190025077	190025084	D09-468	56
FRG2	chr4	190025084	190025085	D09-468	57
FRG2	chr4	190025085	190025086	D09-468	55
FRG2	chr4	190025086	190025088	D09-468	54
FRG2	chr4	190025088	190025091	D09-468	53
FRG2	chr4	190025091	190025092	D09-468	55
FRG2	chr4	190025092	190025093	D09-468	54
FRG2	chr4	190025093	190025099	D09-468	53
FRG2	chr4	190025099	190025100	D09-468	52
FRG2	chr4	190025100	190025106	D09-468	50
FRG2	chr4	190025106	190025108	D09-468	52
FRG2	chr4	190025108	190025124	D09-468	51
FRG2	chr4	190025124	190025125	D09-468	50
FRG2	chr4	190025125	190025126	D09-468	51
FRG2	chr4	190025126	190025128	D09-468	55
FRG2	chr4	190025128	190025135	D09-468	53
FRG2	chr4	190025135	190025136	D09-468	46
FRG2	chr4	190025136	190025139	D09-468	47
FRG2	chr4	190025139	190025141	D09-468	49
FRG2	chr4	190025141	190025142	D09-468	50
FRG2	chr4	190025142	190025146	D09-468	49
FRG2	chr4	190025146	190025151	D09-468	52
FRG2	chr4	190025151	190025154	D09-468	51
FRG2	chr4	190025154	190025155	D09-468	50
FRG2	chr4	190025155	190025156	D09-468	49
FRG2	chr4	190025156	190025159	D09-468	51
FRG2	chr4	190025159	190025160	D09-468	49
FRG2	chr4	190025160	190025161	D09-468	47
FRG2	chr4	190025161	190025164	D09-468	48
FRG2	chr4	190025164	190025165	D09-468	55
FRG2	chr4	190025165	190025167	D09-468	54
FRG2	chr4	190025167	190025170	D09-468	56
FRG2	chr4	190025170	190025171	D09-468	55
FRG2	chr4	190025171	190025173	D09-468	56
FRG2	chr4	190025173	190025182	D09-468	51
FRG2	chr4	190025182	190025184	D09-468	52
FRG2	chr4	190025184	190025188	D09-468	54
FRG2	chr4	190025188	190025189	D09-468	53
FRG2	chr4	190025189	190025190	D09-468	50
FRG2	chr4	190025190	190025193	D09-468	48
FRG2	chr4	190025193	190025194	D09-468	43
FRG2	chr4	190025194	190025197	D09-468	41
FRG2	chr4	190025197	190025198	D09-468	40
FRG2	chr4	190025198	190025200	D09-468	36
FRG2	chr4	190025200	190025201	D09-468	35
FRG2	chr4	190025201	190025202	D09-468	34
FRG2	chr4	190025202	190025203	D09-468	33
FRG2	chr4	190025203	190025210	D09-468	32
FRG2	chr4	190025210	190025214	D09-468	33
FRG2	chr4	190025214	190025216	D09-468	34
FRG2	chr4	190025216	190025221	D09-468	37
FRG2	chr4	190025221	190025226	D09-468	36
FRG2	chr4	190025226	190025232	D09-468	37
FRG2	chr4	190025232	190025233	D09-468	39
FRG2	chr4	190025233	190025234	D09-468	44
FRG2	chr4	190025234	190025237	D09-468	43
FRG2	chr4	190025237	190025240	D09-468	45
FRG2	chr4	190025240	190025247	D09-468	43
FRG2	chr4	190025247	190025250	D09-468	45
FRG2	chr4	190025250	190025251	D09-468	46
FRG2	chr4	190025251	190025252	D09-468	50
FRG2	chr4	190025252	190025253	D09-468	52
FRG2	chr4	190025253	190025255	D09-468	54
FRG2	chr4	190025255	190025265	D09-468	55
FRG2	chr4	190025265	190025268	D09-468	54
FRG2	chr4	190025268	190025274	D09-468	55
FRG2	chr4	190025274	190025275	D09-468	51
FRG2	chr4	190025275	190025277	D09-468	50
FRG2	chr4	190025277	190025280	D09-468	51
FRG2	chr4	190025280	190025282	D09-468	54
FRG2	chr4	190025282	190025286	D09-468	55
FRG2	chr4	190025286	190025288	D09-468	57
FRG2	chr4	190025288	190025289	D09-468	58
FRG2	chr4	190025289	190025290	D09-468	56
FRG2	chr4	190025290	190025291	D09-468	58
FRG2	chr4	190025291	190025295	D09-468	57
FRG2	chr4	190025295	190025296	D09-468	58
FRG2	chr4	190025296	190025297	D09-468	57
FRG2	chr4	190025297	190025298	D09-468	55
FRG2	chr4	190025298	190025304	D09-468	58
FRG2	chr4	190025304	190025306	D09-468	57
FRG2	chr4	190025306	190025308	D09-468	58
FRG2	chr4	190025308	190025309	D09-468	60
FRG2	chr4	190025309	190025311	D09-468	59
FRG2	chr4	190025311	190025313	D09-468	58
FRG2	chr4	190025313	190025314	D09-468	59
FRG2	chr4	190025314	190025317	D09-468	57
FRG2	chr4	190025317	190025318	D09-468	56
FRG2	chr4	190025318	190025321	D09-468	54
FRG2	chr4	190025321	190025325	D09-468	55
FRG2	chr4	190025325	190025326	D09-468	54
FRG2	chr4	190025326	190025327	D09-468	55
FRG2	chr4	190025327	190025335	D09-468	56
FRG2	chr4	190025335	190025349	D09-468	54
FRG2	chr4	190025349	190025351	D09-468	55
FRG2	chr4	190025351	190025355	D09-468	56
FRG2	chr4	190025355	190025356	D09-468	57
FRG2	chr4	190025356	190025359	D09-468	64
FRG2	chr4	190025359	190025364	D09-468	63
FRG2	chr4	190025364	190025366	D09-468	62
FRG2	chr4	190025366	190025370	D09-468	59
FRG2	chr4	190025370	190025373	D09-468	62
FRG2	chr4	190025373	190025376	D09-468	61
FRG2	chr4	190025376	190025381	D09-468	60
FRG2	chr4	190025381	190025382	D09-468	61
FRG2	chr4	190025382	190025383	D09-468	56
FRG2	chr4	190025383	190025385	D09-468	54
FRG2	chr4	190025385	190025387	D09-468	55
FRG2	chr4	190025387	190025395	D09-468	53
FRG2	chr4	190025395	190025397	D09-468	56
FRG2	chr4	190025397	190025398	D09-468	57
FRG2	chr4	190025398	190025401	D09-468	61
FRG2	chr4	190025401	190025402	D09-468	57
FRG2	chr4	190025402	190025403	D09-468	58
FRG2	chr4	190025403	190025404	D09-468	56
FRG2	chr4	190025404	190025405	D09-468	54
FRG2	chr4	190025405	190025413	D09-468	53
FRG2	chr4	190025413	190025414	D09-468	54
FRG2	chr4	190025414	190025417	D09-468	55
FRG2	chr4	190025417	190025418	D09-468	56
FRG2	chr4	190025418	190025423	D09-468	55
FRG2	chr4	190025423	190025424	D09-468	59
FRG2	chr4	190025424	190025425	D09-468	60
FRG2	chr4	190025425	190025428	D09-468	61
FRG2	chr4	190025428	190025431	D09-468	62
FRG2	chr4	190025431	190025432	D09-468	59
FRG2	chr4	190025432	190025434	D09-468	58
FRG2	chr4	190025434	190025436	D09-468	61
FRG2	chr4	190025436	190025437	D09-468	60
FRG2	chr4	190025437	190025440	D09-468	56
FRG2	chr4	190025440	190025443	D09-468	57
FRG2	chr4	190025443	190025445	D09-468	58
FRG2	chr4	190025445	190025446	D09-468	63
FRG2	chr4	190025446	190025448	D09-468	62
FRG2	chr4	190025448	190025449	D09-468	60
FRG2	chr4	190025449	190025451	D09-468	61
FRG2	chr4	190025451	190025454	D09-468	63
FRG2	chr4	190025454	190025456	D09-468	60
FRG2	chr4	190025456	190025459	D09-468	61
FRG2	chr4	190025459	190025461	D09-468	60
FRG2	chr4	190025461	190025464	D09-468	62
FRG2	chr4	190025464	190025466	D09-468	61
FRG2	chr4	190025466	190025468	D09-468	60
FRG2	chr4	190025468	190025471	D09-468	59
FRG2	chr4	190025471	190025476	D09-468	60
FRG2	chr4	190025476	190025477	D09-468	59
FRG2	chr4	190025477	190025486	D09-468	58
FRG2	chr4	190025486	190025491	D09-468	60
FRG2	chr4	190025491	190025497	D09-468	62
FRG2	chr4	190025497	190025499	D09-468	63
FRG2	chr4	190025499	190025501	D09-468	62
FRG2	chr4	190025501	190025502	D09-468	61
FRG2	chr4	190025502	190025506	D09-468	63
FRG2	chr4	190025506	190025508	D09-468	56
FRG2	chr4	190025508	190025509	D09-468	57
FRG2	chr4	190025509	190025511	D09-468	58
FRG2	chr4	190025511	190025520	D09-468	62
FRG2	chr4	190025520	190025521	D09-468	61
FRG2	chr4	190025521	190025522	D09-468	59
FRG2	chr4	190025522	190025528	D09-468	64
FRG2	chr4	190025528	190025531	D09-468	65
FRG2	chr4	190025531	190025534	D09-468	64
FRG2	chr4	190025534	190025536	D09-468	63
FRG2	chr4	190025536	190025540	D09-468	64
FRG2	chr4	190025540	190025541	D09-468	65
FRG2	chr4	190025541	190025545	D09-468	66
FRG2	chr4	190025545	190025547	D09-468	63
FRG2	chr4	190025547	190025548	D09-468	56
FRG2	chr4	190025548	190025549	D09-468	58
FRG2	chr4	190025549	190025553	D09-468	57
FRG2	chr4	190025553	190025555	D09-468	56
FRG2	chr4	190025555	190025556	D09-468	57
FRG2	chr4	190025556	190025558	D09-468	58
FRG2	chr4	190025558	190025563	D09-468	59
FRG2	chr4	190025563	190025564	D09-468	58
FRG2	chr4	190025564	190025567	D09-468	57
FRG2	chr4	190025567	190025569	D09-468	56
FRG2	chr4	190025569	190025570	D09-468	57
FRG2	chr4	190025570	190025572	D09-468	58
FRG2	chr4	190025572	190025574	D09-468	54
FRG2	chr4	190025574	190025575	D09-468	53
FRG2	chr4	190025575	190025578	D09-468	52
FRG2	chr4	190025578	190025579	D09-468	51
FRG2	chr4	190025579	190025583	D09-468	50
FRG2	chr4	190025583	190025584	D09-468	49
FRG2	chr4	190025584	190025587	D09-468	47
FRG2	chr4	190025587	190025590	D09-468	48
FRG2	chr4	190025590	190025591	D09-468	47
FRG2	chr4	190025591	190025592	D09-468	48
FRG2	chr4	190025592	190025593	D09-468	49
FRG2	chr4	190025593	190025595	D09-468	48
FRG2	chr4	190025595	190025597	D09-468	43
FRG2	chr4	190025597	190025598	D09-468	39
FRG2	chr4	190025598	190025600	D09-468	40
FRG2	chr4	190025600	190025607	D09-468	41
FRG2	chr4	190025607	190025609	D09-468	42
FRG2	chr4	190025609	190025611	D09-468	41
FRG2	chr4	190025611	190025612	D09-468	40
FRG2	chr4	190025612	190025613	D09-468	43
FRG2	chr4	190025613	190025621	D09-468	44
FRG2	chr4	190025621	190025626	D09-468	42
FRG2	chr4	190025626	190025627	D09-468	40
FRG2	chr4	190025627	190025630	D09-468	42
FRG2	chr4	190025630	190025632	D09-468	44
FRG2	chr4	190025632	190025636	D09-468	50
FRG2	chr4	190025636	190025640	D09-468	48
FRG2	chr4	190025640	190025641	D09-468	51
FRG2	chr4	190025641	190025645	D09-468	49
FRG2	chr4	190025645	190025646	D09-468	50
FRG2	chr4	190025646	190025647	D09-468	51
FRG2	chr4	190025647	190025655	D09-468	50
FRG2	chr4	190025655	190025657	D09-468	47
FRG2	chr4	190025657	190025659	D09-468	49
FRG2	chr4	190025659	190025660	D09-468	48
FRG2	chr4	190025660	190025662	D09-468	47
FRG2	chr4	190025662	190025665	D09-468	46
FRG2	chr4	190025665	190025670	D09-468	45
FRG2	chr4	190025670	190025672	D09-468	44
FRG2	chr4	190025672	190025675	D09-468	43
FRG2	chr4	190025675	190025677	D09-468	47
FRG2	chr4	190025677	190025678	D09-468	48
FRG2	chr4	190025678	190025684	D09-468	47
FRG2	chr4	190025684	190025685	D09-468	45
FRG2	chr4	190025685	190025691	D09-468	46
FRG2	chr4	190025691	190025693	D09-468	45
FRG2	chr4	190025693	190025695	D09-468	47
FRG2	chr4	190025695	190025698	D09-468	49
FRG2	chr4	190025698	190025701	D09-468	48
FRG2	chr4	190025701	190025703	D09-468	47
FRG2	chr4	190025703	190025704	D09-468	49
FRG2	chr4	190025704	190025709	D09-468	48
FRG2	chr4	190025709	190025713	D09-468	47
FRG2	chr4	190025713	190025715	D09-468	48
FRG2	chr4	190025715	190025717	D09-468	49
FRG2	chr4	190025717	190025721	D09-468	48
FRG2	chr4	190025721	190025724	D09-468	47
FRG2	chr4	190025724	190025733	D09-468	49
FRG2	chr4	190025733	190025734	D09-468	51
FRG2	chr4	190025734	190025736	D09-468	52
FRG2	chr4	190025736	190025737	D09-468	53
FRG2	chr4	190025737	190025738	D09-468	52
FRG2	chr4	190025738	190025739	D09-468	51
FRG2	chr4	190025739	190025740	D09-468	52
FRG2	chr4	190025740	190025744	D09-468	53
FRG2	chr4	190025744	190025748	D09-468	52
FRG2	chr4	190025748	190025749	D09-468	51
FRG2	chr4	190025749	190025752	D09-468	50
FRG2	chr4	190025752	190025755	D09-468	55
FRG2	chr4	190025755	190025758	D09-468	54
FRG2	chr4	190025758	190025761	D09-468	55
FRG2	chr4	190025761	190025762	D09-468	54
FRG2	chr4	190025762	190025770	D09-468	50
FRG2	chr4	190025770	190025772	D09-468	52
FRG2	chr4	190025772	190025774	D09-468	53
FRG2	chr4	190025774	190025777	D09-468	57
FRG2	chr4	190025777	190025780	D09-468	55
FRG2	chr4	190025780	190025781	D09-468	53
FRG2	chr4	190025781	190025782	D09-468	57
FRG2	chr4	190025782	190025790	D09-468	51
FRG2	chr4	190025790	190025794	D09-468	48
FRG2	chr4	190025794	190025795	D09-468	49
FRG2	chr4	190025795	190025796	D09-468	48
FRG2	chr4	190025796	190025797	D09-468	49
FRG2	chr4	190025797	190025803	D09-468	48
FRG2	chr4	190025803	190025804	D09-468	50
FRG2	chr4	190025804	190025807	D09-468	53
FRG2	chr4	190025807	190025808	D09-468	51
FRG2	chr4	190025808	190025812	D09-468	52
FRG2	chr4	190025812	190025813	D09-468	51
FRG2	chr4	190025813	190025814	D09-468	52
FRG2	chr4	190025814	190025818	D09-468	53
FRG2	chr4	190025818	190025824	D09-468	55
FRG2	chr4	190025824	190025826	D09-468	56
FRG2	chr4	190025826	190025827	D09-468	51
FRG2	chr4	190025827	190025836	D09-468	50
FRG2	chr4	190025836	190025844	D09-468	49
FRG2	chr4	190025844	190025849	D09-468	47
FRG2	chr4	190025849	190025854	D09-468	49
FRG2	chr4	190025854	190025858	D09-468	54
FRG2	chr4	190025858	190025863	D09-468	53
FRG2	chr4	190025863	190025864	D09-468	50
FRG2	chr4	190025864	190025865	D09-468	51
FRG2	chr4	190025865	190025868	D09-468	50
FRG2	chr4	190025868	190025873	D09-468	51
FRG2	chr4	190025873	190025884	D09-468	50
FRG2	chr4	190025884	190025885	D09-468	49
FRG2	chr4	190025885	190025889	D09-468	48
FRG2	chr4	190025889	190025890	D09-468	47
FRG2	chr4	190025890	190025892	D09-468	46
FRG2	chr4	190025892	190025893	D09-468	48
FRG2	chr4	190025893	190025899	D09-468	49
FRG2	chr4	190025899	190025902	D09-468	51
FRG2	chr4	190025902	190025903	D09-468	46
FRG2	chr4	190025903	190025910	D09-468	47
FRG2	chr4	190025910	190025915	D09-468	51
FRG2	chr4	190025915	190025919	D09-468	55
FRG2	chr4	190025919	190025920	D09-468	53
FRG2	chr4	190025920	190025924	D09-468	52
FRG2	chr4	190025924	190025929	D09-468	49
FRG2	chr4	190025929	190025930	D09-468	52
FRG2	chr4	190025930	190025935	D09-468	48
FRG2	chr4	190025935	190025936	D09-468	49
FRG2	chr4	190025936	190025939	D09-468	50
FRG2	chr4	190025939	190025943	D09-468	51
FRG2	chr4	190025943	190025945	D09-468	50
FRG2	chr4	190025945	190025948	D09-468	54
FRG2	chr4	190025948	190025950	D09-468	55
FRG2	chr4	190025950	190025953	D09-468	59
FRG2	chr4	190025953	190025954	D09-468	57
FRG2	chr4	190025954	190025955	D09-468	54
FRG2	chr4	190025955	190025957	D09-468	56
FRG2	chr4	190025957	190025958	D09-468	58
FRG2	chr4	190025958	190025959	D09-468	57
FRG2	chr4	190025959	190025960	D09-468	58
FRG2	chr4	190025960	190025962	D09-468	60
FRG2	chr4	190025962	190025966	D09-468	59
FRG2	chr4	190025966	190025969	D09-468	58
FRG2	chr4	190025969	190025972	D09-468	56
FRG2	chr4	190025972	190025974	D09-468	60
FRG2	chr4	190025974	190025980	D09-468	59
FRG2	chr4	190025980	190025985	D09-468	58
FRG2	chr4	190025985	190025990	D09-468	60
FRG2	chr4	190025990	190025993	D09-468	62
FRG2	chr4	190025993	190025995	D09-468	60
FRG2	chr4	190025995	190025996	D09-468	68
FRG2	chr4	190025996	190025998	D09-468	69
FRG2	chr4	190025998	190026000	D09-468	71
FRG2	chr4	190026000	190026003	D09-468	69
FRG2	chr4	190026003	190026004	D09-468	70
FRG2	chr4	190026004	190026005	D09-468	61
FRG2	chr4	190026005	190026010	D09-468	68
